Contagem,Ano,Título,Gênero,País,Nacionalidade,Distribuidora,Origem_distribuidora,Público_exibição,Renda
675,2019,Yara,Ficção,"França, Iraque, Líbano",Estrangeira,Zeta Filmes,Distribuição Nacional,2327.0,25702.0
676,2019,Yesterday,Ficção,Reino Unido,Estrangeira,Universal,Distribuição Internacional,624607.0,12078909.0
677,2019,Yomeddine,Ficção,"Áustria, Egito, Estados Unidos",Estrangeira,Imovision,Distribuição Nacional,2110.0,37318.0
678,2019,Zama,Ficção,"Brasil, Argentina, Espanha",Brasileira,Vitrine Filmes,Distribuição Nacional,50.0,168.0
679,2019,Zora Curiosa,Documentário,Brasil,Brasileira,Empresa Cinematográfica Pampeana,Distribuição Nacional,8.0,120.0
680,2019,Zoravia,Documentário,Brasil,Brasileira,Empresa Cinematográfica Pampeana,Distribuição Nacional,388.0,5788.0
681,2019,Zumbilândia: Atire Duas Vezes,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,287152.0,4185690.0
682,2019,Últimos Dias Em Havana,Ficção,"Cuba, Espanha",Estrangeira,Esfera Produções,Distribuição Nacional,21.0,230.0
683,2018,10 Segundos Para Vencer,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,49147.0,801026.0
684,2018,12 Heróis,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,30930.0,549086.0
685,2018,120 Batimentos Por Minuto,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,16685.0,222381.0
686,2018,15H17 - Trem Para Paris,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,35623.0,748396.0
687,2018,1945,Ficção,Hungria,Estrangeira,Supo Mungam Films,Distribuição Nacional,16976.0,265581.0
688,2018,22 Milhas,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,129932.0,2012041.0
689,2018,45 Anos,Ficção,Reino Unido,Estrangeira,Imovision,Distribuição Nacional,235.0,3440.0
690,2018,50 São Os Novos 30,Ficção,França,Estrangeira,Cineart Filmes,Distribuição Nacional,30288.0,440009.0
691,2018,7 Dias Em Entebbe,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Diamond Films,Distribuição Nacional,92344.0,1944624.0
692,2018,8 ½,Ficção,"França, Itália",Estrangeira,F. J. Cines,Distribuição Nacional,38.0,527.0
693,2018,A Abelhinha Maya - O Filme,Animação,Alemanha,Estrangeira,Playarte,Distribuição Nacional,100041.0,1433332.0
694,2018,A Amante,Ficção,"Bélgica, França, Tunísia",Estrangeira,Pandora Filmes,Distribuição Nacional,15666.0,253317.0
695,2018,A Aparição,Ficção,França,Estrangeira,Mares Filmes/A2 Filmes,Distribuição Nacional,7259.0,95618.0
696,2018,A Bela da Tarde*,Ficção,"França, Itália",Estrangeira,Zeta Filmes,Distribuição Nacional,1541.0,16747.0
697,2018,A Bela E A Fera (2017),Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,166.0,1580.0
698,2018,A Cabana,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,68.0,496.0
699,2018,A Cabeça De Gumercindo Saraiva,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,4959.0,53687.0
700,2018,A Casa Do Medo - Incidente Em Ghostland,Ficção,"Canadá, França",Estrangeira,Paris,Distribuição Nacional,226346.0,3155381.0
701,2018,A Casa Que Jack Construiu,Ficção,"Alemanha, Dinamarca, França, Suécia",Estrangeira,Califórnia,Distribuição Nacional,24296.0,400442.0
702,2018,A Cidade Do Futuro,Ficção,Brasil,Brasileira,Vitrine Filmes/Espaço Filmes,Distribuição Nacional,11786.0,153437.0
703,2018,A Cidade Onde Envelheço,Ficção,"Portugal, Brasil",Brasileira,Vitrine Filmes,Distribuição Nacional,23.0,130.0
704,2018,A Cidade é uma Só?,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,53.0,268.0
705,2018,A Câmera De Claire,Ficção,"Coréia do Sul, França",Estrangeira,Pandora Filmes,Distribuição Nacional,13719.0,208478.0
706,2018,A Destruição De Bernardet,Documentário,Brasil,Brasileira,Paleotv,Distribuição Nacional,1355.0,10352.0
707,2018,A Doce Vida,Ficção,"França, Itália",Estrangeira,F. J. Cines,Distribuição Nacional,32.0,397.0
708,2018,A Estrela de Belém*,Animação,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,3433.0,48319.0
709,2018,A Excêntrica Família De Gaspard,Ficção,França,Estrangeira,Bonfilm,Distribuição Nacional,2476.0,35868.0
710,2018,A Família Dionti,Ficção,Brasil,Brasileira,Arthouse,Distribuição Nacional,19.0,183.0
711,2018,A Festa,Ficção,Reino Unido,Estrangeira,Mares Filmes/A2 Filmes,Distribuição Nacional,47225.0,819540.0
712,2018,A Filha,Ficção,Austrália,Estrangeira,Supo Mungam Films,Distribuição Nacional,117.0,1531.0
713,2018,A Filosofia na Alcova,Ficção,Brasil,Brasileira,Espaço dos Satyros,Distribuição Nacional,1718.0,21637.0
714,2018,A Forma Da Água,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,863371.0,15264748.0
715,2018,A Freira,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,5293026.0,76375810.0
716,2018,A Fábrica De Nada,Ficção,Portugal,Estrangeira,Imovision,Distribuição Nacional,1732.0,24092.0
717,2018,A Garota Na Névoa,Ficção,Itália,Estrangeira,A2 Filmes,Distribuição Nacional,3929.0,52983.0
718,2018,A Gente,Documentário,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,9.0,55.0
719,2018,A Grande Jogada,Ficção,"China, Estados Unidos",Estrangeira,Diamond Films,Distribuição Nacional,75815.0,1296763.0
720,2018,A Imagem Da Tolerância,Documentário,Brasil,Brasileira,Espaço Filmes,Distribuição Nacional,671.0,10006.0
721,2018,A Justiceira,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,87722.0,1283058.0
722,2018,A Livraria,Ficção,"Alemanha, Espanha, Reino Unido",Estrangeira,Cineart Filmes,Distribuição Nacional,38135.0,591125.0
723,2018,A Luta Do Século,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,2569.0,30506.0
724,2018,A Maldição Da Casa Winchester,Ficção,"Austrália, Estados Unidos",Estrangeira,Paris,Distribuição Nacional,732481.0,10333087.0
725,2018,A Melhor Escolha,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,16226.0,352312.0
726,2018,A Misteriosa Morte De Pérola,Ficção,Brasil,Brasileira,Embaúba Filmes,Distribuição Nacional,147.0,1100.0
727,2018,A Montanha Matterhorn,Ficção,Holanda,Estrangeira,Filmes Da Mostra,Distribuição Nacional,2.0,22.0
728,2018,A Morte De Stalin,Ficção,"Estados Unidos, França, Reino Unido",Estrangeira,Paris,Distribuição Nacional,13193.0,237480.0
729,2018,A Morte Te Dá Parabéns,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,37.0,318.0
730,2018,A Moça Do Calendário,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,2716.0,24712.0
731,2018,A Natureza Do Tempo,Ficção,"Alemanha, Argélia, França",Estrangeira,Imovision,Distribuição Nacional,5113.0,90856.0
732,2018,A Noite De 12 Anos,Ficção,"Argentina, Espanha, Uruguai",Estrangeira,Vitrine Filmes,Distribuição Nacional,77878.0,1280611.0
733,2018,A Noite Devorou O Mundo,Ficção,França,Estrangeira,Califórnia,Distribuição Nacional,1415.0,25858.0
734,2018,A Noite Do Jogo,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,198467.0,3236121.0
